idCliente;flEmail;flTwitch;flYouTube;flBlueSky;flInstagram;qtdePontos;DtCriacao;DtAtualizacao
000dc0f6-e4f2-4a42-b8cd-b586ed1c709a;0;1;0;0;0;2;2025-11-13 12:03:56.114;2025-12-13 11:45:37.364
000ff655-fa9f-4baa-a108-47f581ec52a1;0;0;0;0;0;25086;2024-02-01 00:00:00.000;2025-09-26 13:28:37.697
001749bd-37b5-4b1e-8111-f9fbba90f530;0;0;0;0;0;50;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
0019bb9e-26d4-4ebf-8727-fc911ea28a92;0;0;0;0;0;2;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
0028dda2-334f-40bb-9582-475fb6719471;0;1;0;0;0;0;2025-10-29 02:08:18.367;2025-10-29 02:08:18.367
002970bd-65c2-42bf-a17d-2bc5e95e2f0b;0;1;0;0;0;0;2025-07-16 09:36:45.831;2025-07-16 09:36:45.831
0033b737-8235-4c0f-9801-dc4ca185af00;0;1;0;0;0;2561;2025-02-19 12:48:24.632;2025-08-04 12:06:09.677
00417bdf-844f-40bf-92e1-d663373cbbd2;0;1;0;0;0;0;2025-11-10 03:14:09.875;2025-11-10 03:14:09.875
00684343-40b5-4ce7-b2e8-71a5340973bf;0;0;0;0;0;0;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
0068860b-c7eb-4312-830d-4ab9273c9b15;0;1;0;0;0;152;2025-09-29 13:28:20.255;2025-10-13 12:45:50.785
007b8e64-a244-4404-8992-3b8098b33ccc;0;1;0;0;0;0;2025-06-10 16:13:43.144;2025-06-10 16:13:43.144
00942a67-2ffd-4afe-a10e-3caf6e950e0f;0;1;0;0;0;0;2025-10-20 22:16:31.357;2025-10-20 22:16:31.357
0097ab76-4637-4ece-8ebc-ab6abd61d662;0;0;0;0;0;50;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
00a2aa20-fd00-4c09-bab0-caf674e5cd30;0;1;0;0;0;104;2025-05-05 12:13:35.566;2025-06-27 23:50:40.990
00a6d4c8-38e5-4e92-981e-4e4ac5084546;1;0;0;0;0;6637;2025-02-27 12:28:58.378;2025-02-27 12:28:58.378
00a8cd72-1d5e-4c6e-8816-85a4de296a28;0;1;0;0;0;50;2025-05-05 12:15:15.514;2025-05-05 12:16:10.558
00ae41c3-9aba-49dd-9a07-c82e15b75e9a;0;1;0;0;0;50;2025-07-07 14:55:52.296;2025-07-07 14:55:58.572
00c26486-33e8-4af9-8e0f-4ee220252ca9;0;0;0;0;0;0;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
00ca8667-d69d-4814-b452-88a54164173f;0;1;0;0;0;0;2025-10-05 13:55:34.852;2025-10-05 13:55:34.852
00cde3c9-db42-494c-82c1-ee638a0b08fa;0;1;0;0;0;53;2025-06-17 12:10:25.880;2025-06-17 12:56:17.416
00d8af70-17fb-422e-8675-37c8c47c36fd;0;1;0;0;0;254;2025-08-25 12:01:22.721;2025-09-03 12:00:46.957
00f9cc87-c956-4b27-92e2-c96c5774083e;0;0;0;0;0;52;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
011dc22f-5864-4d88-964d-01a11a90e0b4;0;1;0;0;0;0;2025-11-03 12:13:42.677;2025-11-03 12:13:42.677
0122142b-464c-414a-9aad-e901f492a1a3;0;1;0;0;0;184;2025-01-10 12:01:26.743;2025-12-08 12:38:17.942
012bc897-e45c-4e6a-a742-7e00fa2e59e5;0;0;0;0;0;51;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
0136afea-76c9-45c0-b9db-0212595418e5;0;0;0;0;0;102;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
014491f5-caa3-4122-be69-a31411ad4bd7;0;1;0;0;0;154;2024-11-25 12:29:46.067;2024-11-25 12:29:46.067
0147f062-0e6c-46a9-a66d-d0bc4d651a73;0;1;0;0;0;50;2025-01-08 11:52:29.269;2025-01-08 11:52:39.201
01493e20-37b4-4b18-84bd-3d1e7acf1870;0;1;0;0;0;286;2025-08-26 13:35:47.977;2025-11-04 12:36:37.376
014b7774-561a-4a58-93d7-070667df90fb;0;0;0;0;0;126;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
014f9fac-d88c-4e95-9f9d-9eb86c9f87db;0;1;0;0;0;1000;2025-10-14 03:14:26.550;2025-10-27 02:08:02.798
0150aea5-5a40-4c7b-8b2b-de741537cc93;0;1;0;0;0;0;2025-08-04 20:12:41.348;2025-08-04 20:12:41.348
015e35f3-70d3-43f3-895d-cdea386118d7;0;0;0;0;0;166;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
015fe52e-cc46-40c2-a496-2d228208bb2e;0;0;0;0;0;100;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
016cfd4a-8dd3-4d78-9a08-b6829775f86d;0;1;0;0;0;54;2024-12-12 11:51:39.867;2024-12-12 12:05:19.942
017cc9ca-7856-4253-8fa8-13cb6cfadaa1;0;1;0;0;0;103;2025-06-09 12:01:19.838;2025-08-25 12:47:14.727
018e57fb-0471-4669-ba3b-f70719025748;0;1;0;0;0;0;2025-09-01 20:09:11.991;2025-09-01 20:09:11.991
01cada67-8f31-475b-8b34-344d953d739a;0;1;0;0;0;404;2024-02-01 00:00:00.000;2025-08-29 14:41:44.814
01ccd9fc-a0d4-4bb3-8d70-005818be596c;0;1;0;0;0;100;2025-02-19 12:41:11.583;2025-04-08 11:35:17.754
01cde407-359c-44a9-9979-96e07ac43e53;0;1;0;0;0;707;2025-08-25 12:28:25.771;2025-09-05 13:57:55.916
01f2e6ea-4fc4-4eb3-94aa-3f36109a9787;0;0;0;0;0;176;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
01f3a765-a092-4999-be4b-98fc5404653b;0;0;0;0;0;202;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
022ee093-36c6-4519-9404-b145a086b40c;0;1;0;0;0;670;2025-01-30 11:12:55.712;2025-02-21 11:33:11.509
0246afca-433a-4f1c-bb74-161eccdba155;0;1;0;0;0;0;2025-09-16 19:23:48.492;2025-09-16 19:23:48.492
024e6468-2bde-482a-8f9c-9ddc62d28d04;0;1;0;0;0;72;2025-06-11 12:06:13.378;2025-06-13 12:46:50.225
025f30ce-4b1b-429f-b92b-5b3f7003699f;0;0;0;0;0;50;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
0262b6a5-db4c-49ba-b139-86fc3cb6278f;0;0;0;0;0;50;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
0269fbcd-ae33-43e9-a6b0-63d8ac4a1a49;0;1;0;0;0;0;2025-07-22 02:21:49.952;2025-07-22 02:21:49.952
0272683c-cc20-4fe5-a536-d28449581d89;0;1;0;0;0;1000;2025-09-20 19:56:42.795;2025-10-17 22:45:15.007
0287cd05-1efe-4ad9-b235-ea17e5f8ef9c;0;1;0;0;0;5524;2025-02-26 13:26:52.939;2025-12-19 13:20:57.183
029582ed-b0ec-4b76-9be8-a93f6b288619;0;1;0;0;0;0;2025-08-24 01:14:57.960;2025-08-24 01:14:57.960
029e8e05-08e9-4d06-9b3d-076dcc1f3765;0;1;0;0;0;0;2025-08-31 22:06:41.750;2025-08-31 22:06:41.750
02adccd0-1559-4f7d-bc92-02ec73e68773;0;0;0;0;0;102;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
02b3d0fe-4404-4401-b1f6-1e4df1af1cab;0;1;0;0;0;50;2025-11-05 01:53:20.068;2025-11-06 13:12:02.906
02bfd4d9-4dd6-44e5-88b8-2cc08caf3267;0;1;0;0;0;6652;2025-03-07 11:34:53.988;2025-12-19 14:36:24.853
02cb6641-a115-4c53-a6ab-22b332d8e5e2;0;0;0;0;0;150;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
02d8e64c-cb53-446b-955e-cbbf93c8f747;0;1;0;0;0;50;2025-02-10 13:23:55.932;2025-02-10 13:24:04.866
02ebaed5-c07a-4bdd-bb7b-5334d5b25b39;0;1;0;0;0;3816;2025-02-24 13:21:36.049;2025-07-02 14:33:55.263
02f0f7e0-26d9-481f-863c-2e1133246599;0;1;0;0;0;0;2025-08-12 04:12:53.944;2025-08-12 04:12:53.944
03010015-22ad-42f9-a57b-450477eafa3b;0;1;0;0;0;1000;2025-07-31 00:01:58.494;2025-07-31 00:02:16.259
030496ce-9cb6-42a9-aa5a-5389dd4a2500;0;1;0;0;0;1739;2025-09-15 11:26:36.859;2025-12-18 12:17:16.149
031f1b88-5440-45af-8fa9-1423a0a15145;0;0;0;0;0;0;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
032a9f21-2dc3-4edd-a757-21d8ba63ce66;0;1;0;0;0;1125;2024-10-30 11:38:33.050;2025-08-11 14:18:13.731
03309cb5-124c-4687-9fc6-fa7e76a84aea;0;1;0;0;0;23;2025-03-18 11:26:14.419;2025-03-20 12:40:28.729
0337e2c8-9f22-4198-9920-7d0dd03b3467;0;0;0;0;0;1;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
034bc7eb-fe02-4931-8d3e-f3f93a138fdb;0;1;0;0;0;303;2024-10-31 11:59:57.371;2024-10-31 11:59:57.371
0368a5c3-bc5d-45f2-b8a0-07e74ea1574f;0;1;0;0;0;1855;2024-02-01 00:00:00.000;2025-08-25 13:01:30.032
0373a76d-8e0b-4666-8064-fa9330fddbb2;0;1;0;0;0;50;2025-09-29 12:00:41.065;2025-11-17 11:50:13.765
0375a135-e973-49a6-89f6-dfbca84dcd17;0;1;0;0;0;290;2025-02-17 11:06:04.616;2025-09-04 14:08:26.972
038d7c90-b7c3-46d2-b7ea-3db6fc63d625;0;1;0;0;0;152;2024-02-01 00:00:00.000;2025-09-29 12:57:34.465
038e87d1-edd0-40ef-966b-d924f7b3bdfb;0;1;0;0;0;783;2025-09-29 12:31:17.554;2025-11-07 12:09:14.746
0390e2ff-dbc3-4962-a1de-6fb45cae2a13;0;0;0;0;0;50;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
039371da-962c-453b-b9d9-20859d426458;0;0;0;0;0;201;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
03a53a4f-86d3-483d-92c2-5c68ed9b7ea4;0;1;0;0;0;50;2025-08-25 12:26:47.033;2025-08-25 12:26:53.166
03a59296-ca4e-4521-b7a1-4c6b8a604c17;0;1;0;0;0;0;2024-11-08 13:05:31.131;2024-11-08 13:05:31.131
03a676ed-24fe-4f86-807e-3f804e57b82e;0;0;0;0;0;532;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000
